order_id,customer_id,order_time,amount,currency,status,ingest_date
ofx2t35va,c00016,2025-12-20T06:16:00+00:00,165.81,€,,2025-12-20
oa58zmroh,c00068,2025-12-20T21:32:00+00:00,23.91,$,refunded,2025-12-20
o21epla4x,c00036,2025-12-20T02:31:00+00:00,54.87,USD,paid,2025-12-20
o9moszqdf,c00004,2025-12-20T12:46:00+00:00,84.76,USD,,2025-12-20
orxfqkyf5,c00073,2025-12-20T18:17:00+00:00,76.8,,succeeded,2025-12-20
o22r7kpwh,c00196,2025-12-20T07:40:00+00:00,30.28,USD,failed,2025-12-20
oi5uca31l,c00184,2025-12-20T14:49:00+00:00,99.81,,failed,2025-12-20
ooik63w7c,c00154,2025-12-20T09:04:00+00:00,52.61,USD,PAID,2025-12-20
oretnikhr,c00027,2025-12-20T10:02:00+00:00,3.32,,chargeback,2025-12-20
oojz1r495,c00123,2025-12-20T07:19:00+00:00,26.74,USD,failed,2025-12-20
ow98s4c2l,c00123,2025-12-20T02:02:00+00:00,25.39,???,succeeded,2025-12-20
o6gpxkitg,c00048,2025-12-20T20:24:00+00:00,133.02,???,PAID,2025-12-20
o42rxuq07,c00027,2025-12-20T22:17:00+00:00,5.57,usd,paid,2025-12-20
o9da1lz4u,c00080,not-a-time,51.71,$,failed,2025-12-20
okrutzyed,c00037,2025-12-20T06:12:00+00:00,19.28,USD,succeeded,2025-12-20
orwragdi1,c00128,2025-12-20T21:05:00+00:00,17.27,USD,,2025-12-20
o876swkvd,c00132,2025-12-20T09:54:00+00:00,75.78,???,paid,2025-12-20
oyaa0glfq,c00186,2025-12-20T17:53:00+00:00,42.14,usd,,2025-12-20
oxe85d3ak,c00154,2025-12-20T05:58:00+00:00,67.84,$,refunded,2025-12-20
oy27uwujp,c00086,not-a-time,4.59,USD,paid,2025-12-20
oammork93,c00198,not-a-time,26.0,€,paid,2025-12-20
o0i3af5m0,c00137,2025-12-20T05:25:00+00:00,28.0,EUR,,2025-12-20
o3g0ff6zm,c00050,2025-12-20T22:43:00+00:00,70.3,USD,succeeded,2025-12-20
ovwhfqzba,c00071,2025-12-20T13:14:00+00:00,40.33,USD,,2025-12-20
ozs4p418z,c00069,2025-12-20T23:17:00+00:00,5.2,$,succeeded,2025-12-20
ogfd68kf3,c00090,not-a-time,36.63,usd,paid,2025-12-20
oyedk8bm1,c00091,not-a-time,43.17,,refunded,2025-12-20
ovyu6s8nx,c00137,2025-12-20T22:55:00+00:00,46.32,$,PAID,2025-12-20
onytxewyg,c00101,2025-12-20T21:01:00+00:00,13.49,???,PAID,2025-12-20
o0kv94grn,c00020,2025-12-20T11:52:00+00:00,28.82,€,chargeback,2025-12-20
ozch9wpyf,c00042,2025-12-20T00:11:00+00:00,20.43,EUR,chargeback,2025-12-20
o173hfppv,c00179,2025-12-20T01:41:00+00:00,3.73,,succeeded,2025-12-20
olzeaunuu,c00030,not-a-time,16.4,,succeeded,2025-12-20
o6w4vqmov,c00087,2025-12-20T20:49:00+00:00,52.52,,refunded,2025-12-20
oab7oqpwj,c00119,2025-12-20T05:29:00+00:00,4.65,€,paid,2025-12-20
osyggnce1,c00129,2025-12-20T10:46:00+00:00,80.73,$,succeeded,2025-12-20
od9re09o1,c00007,2025-12-20T14:06:00+00:00,38.59,€,paid,2025-12-20
o2lrvqmvh,c00171,2025-12-20T03:12:00+00:00,31.05,usd,failed,2025-12-20
ot2ef8ejx,c00068,not-a-time,41.91,,refunded,2025-12-20
omkb19fqo,c00193,2025-12-20T18:21:00+00:00,58.82,???,refunded,2025-12-20
oxm8is4qb,c00049,2025-12-20T08:01:00+00:00,35.32,EUR,paid,2025-12-20
ouq8s82rx,c00165,2025-12-20T21:55:00+00:00,49.48,???,paid,2025-12-20
ocvj7h3ty,c00178,2025-12-20T16:08:00+00:00,26.39,€,,2025-12-20
osxh5z9tn,c00043,2025-12-20T12:38:00+00:00,25.52,,chargeback,2025-12-20
on7k2fadf,c00011,2025-12-20T17:39:00+00:00,50.61,EUR,paid,2025-12-20
o81pts10n,c00194,not-a-time,10.99,$,succeeded,2025-12-20
oyet8csb3,c00004,not-a-time,64.51,,paid,2025-12-20
o2zeqoan0,c00092,2025-12-20T09:09:00+00:00,24.75,$,PAID,2025-12-20
ozszcwjcy,c00121,2025-12-20T08:32:00+00:00,33.89,???,PAID,2025-12-20
oitjks90u,c00177,2025-12-20T04:59:00+00:00,16.74,€,succeeded,2025-12-20
ohp21pvw5,c00099,not-a-time,14.22,$,failed,2025-12-20
ol6i5xaju,c00159,not-a-time,35.03,USD,succeeded,2025-12-20
ocmzix3e3,c00136,2025-12-20T12:09:00+00:00,92.8,???,chargeback,2025-12-20
osd7axa57,c00101,2025-12-20T09:29:00+00:00,52.15,,PAID,2025-12-20
ouppxj07l,c00073,2025-12-20T19:11:00+00:00,-12.54,,PAID,2025-12-20
oy9lxwqzd,c00082,not-a-time,48.88,???,paid,2025-12-20
oc1w8xh8f,c00089,2025-12-20T07:55:00+00:00,6.4,???,,2025-12-20
ochy0se9o,c00011,2025-12-20T00:20:00+00:00,23.56,USD,,2025-12-20
o963zpk6h,c00099,not-a-time,29.32,EUR,PAID,2025-12-20
oc9rvu9sg,c00045,2025-12-20T06:10:00+00:00,89.6,€,refunded,2025-12-20
ovd0s9md1,c00185,not-a-time,17.87,,,2025-12-20
om4ld166x,c00158,2025-12-20T19:33:00+00:00,53.13,???,succeeded,2025-12-20
oj0d0ouvg,c00040,2025-12-20T04:50:00+00:00,22.73,???,,2025-12-20
oe8kh2j8s,c00190,2025-12-20T12:45:00+00:00,19.92,$,refunded,2025-12-20
on0kqchbo,c00047,not-a-time,48.08,???,succeeded,2025-12-20
o4gpp2ldt,c00116,2025-12-20T06:31:00+00:00,17.53,$,succeeded,2025-12-20
o4kxgthl4,c00050,2025-12-20T00:25:00+00:00,63.05,EUR,succeeded,2025-12-20
ozw3l0pxk,c00089,2025-12-20T06:25:00+00:00,40.92,???,,2025-12-20
