event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
enpxk8vg0,c00156,2025-12-20 09:15:07,feature_use,web,s1i6yplyv,135785,2025-12-20
e9wr4wgz0,c00140,2025-12-20 16:55:44,,browser,syw44ay9y,5149,2025-12-20
el9qjjspn,c00122,2025-12-20 16:05:59,,AND,,26529,2025-12-20
e2ppm90xv,c00042,2025-12-20 22:05:29,FEATURE_USE,android,,16725,2025-12-20
eds2araxw,c00063,2025-12-20 18:53:58,paywall_view,,,93737,2025-12-20
ef07hr56f,c00180,2025-12-20 03:44:17,error,android,sskhl5wza,193563,2025-12-20
eon9hwgcb,c00134,2025-12-20 23:02:02,feature_use,,sakxzpm7i,373846,2025-12-20
evqysk59e,c00137,2025-12-20T10:34:43-05:00,Logout,web,skpyihhjz,21262,2025-12-20
e4o83n8xq,c00032,2025-12-20T09:41:58-05:00,,android,s1ix0vuy3,186186,2025-12-20
egwr0h98p,c00178,2025-12-20 00:23:56,paywall_view,,,73831,2025-12-20
e8qyssw54,c00124,2025-12-20T18:18:24-05:00,,ios,sec08ukej,14103,2025-12-20
e6lds9aw4,c00143,2025-12-20 21:25:12,Logout,browser,st3kguco1,403780,2025-12-20
eg2czgeqi,c00158,2025-12-20 20:34:51,feature_use,web,sx7h67jhf,446008,2025-12-20
eerokalxz,c00032,2025-12-19T23:19:00-05:00,error,,su8sufiht,235276,2025-12-20
e64j3k219,unknown_c00170,2025-12-20 01:08:59,error,ios,sz3hrvbvi,398412,2025-12-20
ew4fgzmll,c00051,2025-12-20 08:55:45,,,sa5eb429a,58236,2025-12-20
epz3nhbp8,c00185,2025-12-20T18:36:59-05:00,login,iPhone,,36245,2025-12-20
e7kvj4umj,c00192,2025-12-20T03:20:42-05:00,login,,,98771,2025-12-20
epzb7608s,c00141,2025-12-20 06:53:11,Logout,AND,s9zrmu0fv,30861,2025-12-20
erao0fkmm,c00063,2025-12-20 16:16:34,,ios,snbz8gux6,29229,2025-12-20
eiy9nghq8,c00124,2025-12-20T10:21:38-05:00,Logout,android,,89702,2025-12-20
ebmxa3emy,c00028,2025-12-20T15:05:25-05:00,paywall_view,,shrd90dvg,354952,2025-12-20
eljxz7mzo,c00009,2025-12-19T19:29:03-05:00,FEATURE_USE,AND,s6mv78uq7,52582,2025-12-20
eo16dowr2,c00133,2025-12-20 17:43:38,FEATURE_USE,web,shq2743m6,208664,2025-12-20
eepetz8rx,c00101,2025-12-20 05:00:14,paywall_view,iPhone,,12294,2025-12-20
ejcic0728,c00059,2025-12-20T14:02:54-05:00,,web,sqcbm0hua,8758,2025-12-20
eux7tmv37,unknown_c00049,2025-12-20 07:10:15,FEATURE_USE,android,,7019,2025-12-20
ecvthz8zm,c00084,2025-12-19T22:29:38-05:00,feature_use,android,sh7amqez1,60488,2025-12-20
edkjeusw1,c00172,2025-12-20 14:57:40,FEATURE_USE,ios,s97tzz9lp,28019,2025-12-20
ej1699goo,c00006,2025-12-20 05:29:39,,browser,sa2tg0ab5,226808,2025-12-20
ekk6iom64,c00094,2025-12-20 19:25:08,error,ios,scbq6i161,70915,2025-12-20
eszgsslzd,c00025,2025-12-20 10:46:48,error,web,sq63bgipq,51871,2025-12-20
ewl7aoi1v,c00052,bad-ts,login,AND,snzxtb873,264769,2025-12-20
ese712mct,c00168,2025-12-20 03:27:05,Logout,AND,sjmg2guoa,262620,2025-12-20
ee07dsxwo,c00163,2025-12-20T09:47:25-05:00,,web,siqx725cy,4917,2025-12-20
etlzs8jzx,c00148,2025-12-20T07:36:53-05:00,FEATURE_USE,android,,263352,2025-12-20
e6lqmmf1r,c00029,2025-12-20 12:06:47,paywall_view,,s43dqgend,299913,2025-12-20
elak77gtu,c00074,2025-12-20T07:25:58-05:00,feature_use,ios,,11619,2025-12-20
e1dd73pck,c00027,2025-12-20 18:10:10,login,web,sfklxq13b,479137,2025-12-20
eh9cs5l3g,c00141,2025-12-19T22:30:48-05:00,paywall_view,iPhone,sbuw6sci9,57635,2025-12-20
eav5o80iv,c00176,2025-12-20 18:49:26,login,web,skxr24wa9,30541,2025-12-20
eoavpe3ri,c00025,2025-12-20 11:26:08,Logout,,s0wh7hmbc,372486,2025-12-20
e4fy274p8,c00074,2025-12-20 04:22:09,feature_use,browser,s972c7sx3,158129,2025-12-20
e475x1lp1,c00128,2025-12-20T17:24:38-05:00,login,iPhone,s8y6m7q65,93178,2025-12-20
ee4ly5psd,c00121,2025-12-20T05:50:32-05:00,FEATURE_USE,web,srs5par9e,50544,2025-12-20
e69jo37im,c00133,2025-12-20 22:28:53,login,,sjenjj17i,45526,2025-12-20
e60nr161a,c00125,2025-12-20 19:48:58,,browser,sxwp4rfhy,150971,2025-12-20
etu0wz5is,c00194,2025-12-20 18:24:06,paywall_view,iPhone,svc8t2tzg,477243,2025-12-20
e8h76laom,c00135,2025-12-20T07:49:53-05:00,error,web,sou6mbivp,90637,2025-12-20
egzsiio5b,c00046,2025-12-20T04:25:02-05:00,error,AND,,367704,2025-12-20
e2k6k8vh1,c00134,2025-12-19T19:57:09-05:00,FEATURE_USE,,st8ykfs4h,77646,2025-12-20
eaaxr0kcr,c00110,2025-12-20T09:27:38-05:00,feature_use,,ssqkk99of,27126,2025-12-20
e5pk12fm4,c00139,bad-ts,login,ios,,237314,2025-12-20
egfvro143,unknown_c00132,bad-ts,FEATURE_USE,android,svmd41olr,-22491,2025-12-20
e9i9eeuei,unknown_c00129,2025-12-19T20:55:15-05:00,FEATURE_USE,AND,ss7v4xz0e,124595,2025-12-20
ehr6r72ra,c00041,2025-12-20T17:47:46-05:00,,,siua3lc2p,25255,2025-12-20
e6915oc11,c00117,bad-ts,login,AND,ssvm8e2a6,41451,2025-12-20
eaye81b3q,c00142,2025-12-20T09:15:20-05:00,login,ios,smn9so615,217790,2025-12-20
e35oyhp6w,c00187,2025-12-20 12:20:48,,,,77480,2025-12-20
eog71iyk8,c00174,2025-12-19T21:44:54-05:00,Logout,android,,226,2025-12-20
etnzdxhxn,c00022,2025-12-20T09:23:29-05:00,Logout,iPhone,sf1x54248,33433,2025-12-20
emcqn2hpr,c00113,2025-12-20T05:03:12-05:00,login,iPhone,sizzkl5hw,66018,2025-12-20
ea0h8mcpa,c00134,bad-ts,FEATURE_USE,android,sc9q9qic9,60574,2025-12-20
e4h88h1yi,c00007,2025-12-20 23:31:33,login,iPhone,s3b33w8a5,86571,2025-12-20
e66o77aw0,c00120,2025-12-20T03:52:13-05:00,feature_use,,s3f5p89p7,95799,2025-12-20
egylvb47o,c00050,2025-12-20T13:58:32-05:00,error,iPhone,so097mok4,65873,2025-12-20
ejlbwf2x9,c00085,2025-12-20T07:51:48-05:00,login,iPhone,sp4jkw2sc,164039,2025-12-20
eg14fdzcb,c00151,2025-12-20 07:32:02,FEATURE_USE,,spdyby0le,161609,2025-12-20
