event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
easnkofei,c00049,bad-ts,feature_use,iPhone,sm00o6i60,182333,2025-12-13
ehgzcc6we,c00149,2025-12-13 16:26:44,error,android,,149111,2025-12-13
e6fjencl3,c00057,2025-12-13 16:25:06,paywall_view,browser,stlz22ft0,62172,2025-12-13
epnvm3dyr,c00021,2025-12-13T09:01:49-05:00,login,android,sr7gvhlqa,1901,2025-12-13
e7bd7fm2k,c00019,2025-12-13 19:37:36,feature_use,ios,syloa3mqf,15518,2025-12-13
e7bd7fm2k,c00019,2025-12-13 19:37:36,feature_use,ios,syloa3mqf,15518,2025-12-13
e067scz2m,c00095,2025-12-13 19:44:10,FEATURE_USE,,s5qbilpnw,64297,2025-12-13
ekq7yf1n2,c00089,2025-12-13 16:00:52,,android,sr9z3iioz,377538,2025-12-13
enypq7yjo,c00182,2025-12-13 23:07:41,FEATURE_USE,,,593635,2025-12-13
ewm8sb8zf,c00178,2025-12-13 12:04:30,login,browser,s2vssvq63,13754,2025-12-13
eeoffjhm4,c00059,2025-12-13 22:08:36,,iPhone,skai7tqlk,30990,2025-12-13
e1q5lbsir,c00190,2025-12-13 14:55:09,login,,sfqfa0m7x,61947,2025-12-13
ep1v8rs0o,c00021,2025-12-13 17:29:13,,AND,skqeltd3l,253070,2025-12-13
e0tm7zx8z,c00118,2025-12-12T20:58:16-05:00,FEATURE_USE,AND,so2ndg907,233371,2025-12-13
e9e2obyag,c00198,2025-12-13 13:49:39,error,ios,svq48ebf2,27488,2025-12-13
eu84gr8qs,c00048,2025-12-13 17:22:42,error,ios,sufp6f2nd,61276,2025-12-13
eah74qw8h,c00141,2025-12-13 02:58:01,FEATURE_USE,android,sgtd18us4,10236,2025-12-13
e2ocbpo0g,c00191,2025-12-13T09:08:04-05:00,paywall_view,browser,s9zji1am8,43757,2025-12-13
eerqw61rb,c00181,2025-12-13 23:05:22,paywall_view,,sq5pgamlb,142857,2025-12-13
e6e63a5ca,c00081,2025-12-13 15:54:47,,web,s0gw65qbs,442054,2025-12-13
eljf8kh12,c00093,2025-12-13 16:50:31,FEATURE_USE,android,s786lwv55,59286,2025-12-13
ebep1cfz4,c00100,2025-12-13 13:21:56,error,web,scwob67ry,75913,2025-12-13
ek459cxor,c00052,2025-12-13 13:18:49,,,sbrp38ayv,221359,2025-12-13
epmui83bd,c00067,2025-12-13 18:35:51,,,srixn9exu,25060,2025-12-13
eqj2imlgc,c00136,2025-12-12T19:32:25-05:00,FEATURE_USE,AND,,33822,2025-12-13
eb3dsncn9,c00102,2025-12-12T20:34:25-05:00,,,s9wdxjf7p,57355,2025-12-13
eg9965dbk,c00001,2025-12-13 15:05:25,feature_use,AND,,22303,2025-12-13
eckr47ldi,c00161,2025-12-13T12:24:54-05:00,,AND,sy4s0rklm,1574,2025-12-13
ec2pctj15,c00141,2025-12-13 04:30:26,,ios,sgc1ha3k2,71820,2025-12-13
eyh2q6mup,c00080,2025-12-13 13:53:01,Logout,ios,sh1m6ricp,253178,2025-12-13
eq28ejthx,c00067,2025-12-13 11:41:26,feature_use,ios,,23134,2025-12-13
eyz0pten2,c00119,2025-12-13 17:14:37,,web,s528vzrku,3049,2025-12-13
e22qyd8th,c00125,2025-12-13T11:43:13-05:00,FEATURE_USE,iPhone,simexqx74,373204,2025-12-13
e36u05np7,c00162,2025-12-13 17:00:12,,android,syaxxbzah,10832,2025-12-13
e41z081w5,c00067,2025-12-13 18:38:40,login,AND,s7ff09pn9,198765,2025-12-13
eoi0r4i28,c00073,2025-12-13T09:42:05-05:00,,,sp26qohsy,22157,2025-12-13
ekeyaw0pl,c00053,2025-12-13T10:56:41-05:00,paywall_view,iPhone,s2hk8zn2t,65979,2025-12-13
el984trb6,c00186,2025-12-13 17:50:20,error,web,s6mykq9du,87339,2025-12-13
ez8m1b5u2,c00183,2025-12-13 23:10:12,login,,slv9cyamj,235940,2025-12-13
e3gd7ak2l,c00002,2025-12-12T22:12:41-05:00,,,ses8g4wgl,145316,2025-12-13
esing0x77,c00194,2025-12-13 23:56:28,paywall_view,web,soqft31of,137895,2025-12-13
emoz2ir3v,c00118,2025-12-13 14:08:44,login,android,sqs9vvlq4,25917,2025-12-13
ecmc2db19,c00113,2025-12-13T15:30:41-05:00,,browser,soyyohmtk,50160,2025-12-13
ejun4mcoj,c00044,2025-12-13 15:21:33,feature_use,AND,sj5h7c785,376256,2025-12-13
epf5uxwif,c00134,2025-12-12T21:28:15-05:00,paywall_view,AND,sqlvf5sbh,566363,2025-12-13
edpok7r8u,c00005,2025-12-13 11:07:34,,,sxhzz182y,265790,2025-12-13
e208web24,c00114,2025-12-13 15:22:12,feature_use,,sojravfeb,117374,2025-12-13
enpwk2z6j,c00148,2025-12-13 15:44:44,Logout,web,s5igcartv,138436,2025-12-13
eni7o77au,c00070,2025-12-12T23:08:26-05:00,,browser,,65842,2025-12-13
ef2cy82bo,c00139,2025-12-13 13:37:05,error,browser,s1ye6jg50,50426,2025-12-13
eouqfhlyl,c00149,2025-12-13T07:43:48-05:00,paywall_view,,s5v7npy0m,254281,2025-12-13
eovttb3rc,c00196,2025-12-13 14:36:34,,,sae06opi8,155426,2025-12-13
e6p2iu78s,c00181,2025-12-12T23:52:53-05:00,paywall_view,iPhone,slz1uaz6u,153071,2025-12-13
edibz02gg,c00056,2025-12-13 15:44:14,FEATURE_USE,,sjtf2u945,47617,2025-12-13
eh7yahodf,c00138,2025-12-13 02:28:53,login,,sbzt9s3ov,28218,2025-12-13
epilroor1,c00047,2025-12-12T19:18:26-05:00,feature_use,ios,snpqj2du8,103548,2025-12-13
etsnpq6mb,c00124,bad-ts,FEATURE_USE,browser,sipqmgwc7,71907,2025-12-13
e8eax4ik9,c00095,2025-12-13T10:41:18-05:00,FEATURE_USE,AND,s1zh6gh31,104619,2025-12-13
ez0rcfpav,c00150,2025-12-13 15:02:50,error,web,,148678,2025-12-13
eqvrbexnk,c00138,2025-12-13 19:32:41,feature_use,,sot144784,106733,2025-12-13
efvds7ouv,c00133,2025-12-13 21:34:45,login,,slp76m5gd,122312,2025-12-13
esm4kufse,c00082,2025-12-13 22:09:47,error,iPhone,s9wnarbyr,73407,2025-12-13
eb2cweszf,c00191,2025-12-13 14:27:09,feature_use,,s6x65l2nb,81928,2025-12-13
exedndehd,c00046,2025-12-12T20:55:42-05:00,FEATURE_USE,web,syjxzw94b,368678,2025-12-13
enx0gblka,c00062,2025-12-13 18:05:42,login,browser,,64943,2025-12-13
eh4p45c58,c00172,2025-12-13T16:26:08-05:00,paywall_view,,,46416,2025-12-13
eucc6x52y,c00032,2025-12-13 11:57:57,,android,,44305,2025-12-13
eg6hd3j2o,c00104,2025-12-13 01:43:28,Logout,ios,sin57e79h,37980,2025-12-13
eagj1bikp,c00170,2025-12-13 14:17:34,,,s3ec5xbd6,22602,2025-12-13
eeeei0ndu,c00127,2025-12-13 12:35:35,paywall_view,ios,s2hwa5pw5,292015,2025-12-13
e75tc7aju,c00134,2025-12-13 16:43:34,,,sjobv2yq3,18578,2025-12-13
e1o8bgdwl,c00067,2025-12-13T08:03:34-05:00,FEATURE_USE,web,so18hvnir,161360,2025-12-13
e7nw0mixf,c00189,2025-12-13 13:31:18,paywall_view,iPhone,s48b6wp2i,170863,2025-12-13
e0gygzm12,c00010,2025-12-13 20:50:23,feature_use,,s9hd11w7o,86696,2025-12-13
exkyeyy8z,c00148,2025-12-13T09:22:12-05:00,feature_use,ios,,66030,2025-12-13
ewa1trqop,c00015,2025-12-13 23:15:23,,AND,,110254,2025-12-13
e56e58xms,c00196,2025-12-13 00:31:43,paywall_view,web,,108304,2025-12-13
e37ifk1cn,c00100,2025-12-13 23:02:56,Logout,,s491lxt28,18690,2025-12-13
e3ibk3caz,c00053,2025-12-13 15:01:22,login,,sqn8qu27s,19154,2025-12-13
e9zw6gxhm,c00110,2025-12-13 12:49:03,,iPhone,s3li3xu79,170060,2025-12-13
e8ktrgems,c00043,2025-12-13 22:41:37,FEATURE_USE,,sarf087ig,55566,2025-12-13
e2y7tw6nc,unknown_c00119,2025-12-13 02:58:24,,ios,szk254n23,333108,2025-12-13
elfjhd7mk,c00181,2025-12-13T06:36:35-05:00,paywall_view,AND,s1cbrcnb1,445679,2025-12-13
ebw1kynjw,c00066,2025-12-13 14:40:50,FEATURE_USE,,sbxf3hoer,166562,2025-12-13
ey1tr51ti,c00072,2025-12-13 19:20:21,FEATURE_USE,,sx0n9g9yh,25383,2025-12-13
eqzmdfndo,c00123,2025-12-13 23:35:13,Logout,,s6m7h9j31,206985,2025-12-13
ew0ez0maf,c00039,2025-12-13 13:27:34,feature_use,android,,414979,2025-12-13
e37b5zvc2,c00171,2025-12-13 19:18:11,,AND,su72fwduh,103034,2025-12-13
eq2hyg1bz,c00092,2025-12-13 02:53:43,Logout,browser,seqz36qkv,-139174,2025-12-13
evtc3iiv6,c00044,2025-12-13T11:56:56-05:00,error,,snce6r2u0,174229,2025-12-13
e66g7faj7,c00042,2025-12-13 18:26:30,,,sy2w9ffd1,16245,2025-12-13
evhowdert,c00085,2025-12-13T07:39:16-05:00,feature_use,ios,sy90m6290,1444,2025-12-13
eobw3a4ih,c00010,2025-12-13 20:17:12,error,android,svn4f46ca,11497,2025-12-13
eurjr7c2y,c00082,2025-12-13 01:19:24,,,,39539,2025-12-13
eg9jkfy2i,unknown_c00106,2025-12-13 14:14:23,feature_use,ios,s3uc6t9yy,12443,2025-12-13
e7leqhm68,c00111,2025-12-13T15:21:28-05:00,,browser,sdyxegkmf,69973,2025-12-13
