order_id,customer_id,order_time,amount,currency,status,ingest_date
oh04sxopm,c00030,2025-12-17T07:49:00+00:00,16.79,???,failed,2025-12-17
okawr3yys,c00179,2025-12-17T07:49:00+00:00,82.65,USD,failed,2025-12-17
ow504e7h8,c00115,2025-12-17T09:07:00+00:00,12.44,usd,chargeback,2025-12-17
oajjtblk0,c00140,2025-12-17T13:44:00+00:00,30.74,$,paid,2025-12-17
ocw7jazp9,c00141,2025-12-17T14:12:00+00:00,35.54,,chargeback,2025-12-17
oofamye5p,c00138,not-a-time,52.79,???,,2025-12-17
ovt85uvfn,c00014,not-a-time,60.13,$,chargeback,2025-12-17
ocs7jycg1,c00092,not-a-time,28.02,???,failed,2025-12-17
oouajgg2x,c00147,2025-12-17T00:58:00+00:00,26.5,EUR,refunded,2025-12-17
oe7oar7d4,c00024,not-a-time,70.36,,refunded,2025-12-17
ofgxz1mmt,c00144,2025-12-17T04:53:00+00:00,64.35,???,,2025-12-17
or32yf2lr,unknown_c00101,2025-12-17T20:03:00+00:00,120.13,USD,PAID,2025-12-17
oj1ff3r66,c00185,2025-12-17T02:15:00+00:00,13.98,$,failed,2025-12-17
opknpuq64,c00002,2025-12-17T20:00:00+00:00,20.37,,,2025-12-17
o0giym3rj,c00043,2025-12-17T10:28:00+00:00,47.31,???,chargeback,2025-12-17
oomqnnuwq,c00139,2025-12-17T01:46:00+00:00,25.55,,succeeded,2025-12-17
oboq1ld5u,c00036,2025-12-17T05:12:00+00:00,29.1,$,chargeback,2025-12-17
o7bd1pkkv,c00120,2025-12-17T12:33:00+00:00,38.16,,succeeded,2025-12-17
obilbuakl,c00023,2025-12-17T03:45:00+00:00,,???,refunded,2025-12-17
opojkbfst,c00188,2025-12-17T20:55:00+00:00,44.0,USD,failed,2025-12-17
o9hh2cfh7,c00139,not-a-time,15.06,usd,,2025-12-17
olzryxizy,c00175,2025-12-17T06:55:00+00:00,36.66,€,,2025-12-17
o3a16ws72,c00095,not-a-time,88.15,EUR,PAID,2025-12-17
oaho843ea,c00093,2025-12-17T07:11:00+00:00,14.17,€,refunded,2025-12-17
omltuzccz,c00167,2025-12-17T14:19:00+00:00,92.9,USD,paid,2025-12-17
o99nfunmu,c00057,2025-12-17T13:11:00+00:00,48.58,,failed,2025-12-17
o8i6ondql,c00079,2025-12-17T23:27:00+00:00,71.58,EUR,chargeback,2025-12-17
ogpkfnx5a,c00175,2025-12-17T23:59:00+00:00,6.37,EUR,,2025-12-17
obf7nvdzv,c00015,2025-12-17T01:13:00+00:00,5.02,€,refunded,2025-12-17
oo86z2deo,c00019,not-a-time,154.24,,paid,2025-12-17
om0zrnnuq,c00052,2025-12-17T02:48:00+00:00,82.83,,refunded,2025-12-17
oy42ykjkd,c00157,2025-12-17T19:18:00+00:00,54.0,usd,failed,2025-12-17
or9q14g6e,c00160,2025-12-17T21:44:00+00:00,20.68,$,succeeded,2025-12-17
oicbc40pj,c00151,2025-12-17T14:55:00+00:00,45.71,USD,,2025-12-17
oie6e655k,c00041,2025-12-17T02:10:00+00:00,24.36,USD,succeeded,2025-12-17
oi8hsrlev,c00193,2025-12-17T22:28:00+00:00,24.23,usd,,2025-12-17
ozen180pg,c00085,2025-12-17T02:13:00+00:00,20.05,$,chargeback,2025-12-17
okwxs8cy6,c00198,2025-12-17T19:32:00+00:00,35.31,EUR,failed,2025-12-17
o7gs39aze,c00079,2025-12-17T22:57:00+00:00,30.11,USD,succeeded,2025-12-17
oz8w53c4i,c00033,2025-12-17T11:24:00+00:00,22.87,,paid,2025-12-17
oxsemjtd8,unknown_c00138,2025-12-17T04:00:00+00:00,24.07,usd,,2025-12-17
ozk1jabuy,c00100,not-a-time,45.12,$,chargeback,2025-12-17
oz0v1wgeu,c00037,2025-12-17T13:24:00+00:00,8.75,EUR,refunded,2025-12-17
okepjfjs0,c00115,2025-12-17T19:22:00+00:00,37.05,???,succeeded,2025-12-17
of6kh2gdp,c00032,2025-12-17T23:22:00+00:00,49.26,EUR,,2025-12-17
ogkhv171b,unknown_c00081,2025-12-17T07:41:00+00:00,69.68,€,succeeded,2025-12-17
o0mv17ch5,c00144,2025-12-17T16:01:00+00:00,20.39,???,PAID,2025-12-17
oncvhveej,c00099,not-a-time,39.14,???,,2025-12-17
ogqf9ycmo,c00084,2025-12-17T09:15:00+00:00,23.32,$,succeeded,2025-12-17
ot9ktmt24,c00154,2025-12-17T18:04:00+00:00,43.01,€,failed,2025-12-17
ovr4svsk4,c00138,not-a-time,34.03,USD,,2025-12-17
o9vy9n348,c00199,2025-12-17T04:13:00+00:00,26.16,$,,2025-12-17
oxz72nhzw,c00089,2025-12-17T11:12:00+00:00,6.88,$,refunded,2025-12-17
ox2zm1da4,c00137,2025-12-17T07:22:00+00:00,28.12,USD,chargeback,2025-12-17
o4yjt1kbj,c00115,2025-12-17T23:13:00+00:00,30.75,EUR,failed,2025-12-17
obu2bjhgz,c00097,2025-12-17T18:09:00+00:00,73.46,USD,,2025-12-17
ooc3e74zx,c00037,2025-12-17T14:03:00+00:00,59.42,???,,2025-12-17
oblin41t8,c00084,not-a-time,44.17,$,refunded,2025-12-17
oo3r6sd2x,c00176,2025-12-17T03:23:00+00:00,34.81,€,paid,2025-12-17
oy3x1sqdl,c00176,2025-12-17T03:45:00+00:00,50.02,usd,succeeded,2025-12-17
oc495xca2,c00163,2025-12-17T06:24:00+00:00,20.11,€,failed,2025-12-17
ozdllxpe9,c00063,2025-12-17T04:05:00+00:00,16.23,USD,chargeback,2025-12-17
