event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
e3ri0yddp,c00143,2025-12-15 13:05:55,,web,sq2nlhqse,140522,2025-12-15
eua59t67b,c00083,bad-ts,login,web,sbukg0nbg,127307,2025-12-15
e8va3nrda,c00130,2025-12-15T07:16:10-05:00,,,sjde3b0nf,43868,2025-12-15
ewttwjxao,c00080,2025-12-15 13:38:26,,iPhone,,143787,2025-12-15
ewttwjxao,c00080,2025-12-15 13:38:26,,iPhone,,143787,2025-12-15
egmnt6l3h,c00068,2025-12-15 10:56:43,login,ios,shzi3scrq,152863,2025-12-15
eztdi3auk,c00144,2025-12-15 02:55:25,,iPhone,,263101,2025-12-15
egsz2m6pm,c00119,2025-12-15 11:32:46,,,s9bz59wqx,19326,2025-12-15
ev15c67d0,c00190,2025-12-15T11:42:07-05:00,,,sq9y064vr,229628,2025-12-15
et3bq2eb3,c00090,2025-12-15T17:00:10-05:00,error,web,sdb00ybea,128851,2025-12-15
ez1eq9i7f,c00043,2025-12-15 16:24:37,,web,sb9dfp1dy,23588,2025-12-15
ehvrdbohz,c00099,2025-12-15T15:01:38-05:00,FEATURE_USE,web,sanc12py3,13905,2025-12-15
eb7wl963p,c00005,2025-12-15T04:48:31-05:00,,iPhone,sngacd2a3,69272,2025-12-15
e08x9f2za,c00038,2025-12-15 02:34:10,login,iPhone,s2ycnozky,357659,2025-12-15
eaheyl2gd,c00143,2025-12-15 09:45:17,,android,su5mwsgdx,49477,2025-12-15
eie83xcjw,c00171,bad-ts,,android,sp0t6svw0,120339,2025-12-15
e46fe1c53,c00031,2025-12-15 16:03:09,,web,smko4agnr,7926,2025-12-15
edzsqdsxq,c00006,2025-12-15T16:15:15-05:00,login,ios,sfcqo1gno,66180,2025-12-15
eg9qtqwyx,c00061,2025-12-15T11:42:54-05:00,error,AND,scdmfbq7h,197179,2025-12-15
esdlr9ly0,c00173,2025-12-15 17:11:13,feature_use,android,s2nl6rth3,13641,2025-12-15
ex4pyy9y3,c00062,2025-12-15 10:23:59,login,AND,sxeath0s0,334235,2025-12-15
e923u8j02,c00053,2025-12-15 09:17:57,error,android,shztcl2i8,23189,2025-12-15
eomfk82nl,c00106,2025-12-15 16:29:08,error,web,sqp722sfl,219598,2025-12-15
egme3x5ci,c00068,2025-12-15 19:50:24,error,iPhone,,153964,2025-12-15
ed6quemw7,c00029,2025-12-15 21:11:48,,android,sudalhgq7,2641,2025-12-15
e54ry0680,c00145,2025-12-15T16:44:43-05:00,paywall_view,ios,s8ec2s5tc,137324,2025-12-15
evqjcd350,c00150,2025-12-15 03:53:24,login,iPhone,,15649,2025-12-15
e8mze6vj7,c00142,2025-12-15T15:40:10-05:00,feature_use,iPhone,,88819,2025-12-15
eh2e2xf2v,c00081,2025-12-15 18:55:51,Logout,iPhone,sfp0wn9kh,46812,2025-12-15
eb7d33r6w,c00008,2025-12-15T18:30:36-05:00,Logout,ios,,147716,2025-12-15
ei0hisk25,c00136,2025-12-15 04:11:37,,,,115334,2025-12-15
eq1poafpf,c00012,2025-12-15 12:27:43,error,browser,,148143,2025-12-15
