event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
emmpokkgp,c00107,2025-12-14 16:22:33,,iPhone,soni8vbyd,216863,2025-12-14
e7madkdxx,c00083,2025-12-14 23:05:35,paywall_view,,syf099oym,124315,2025-12-14
eszhr3exn,c00050,bad-ts,FEATURE_USE,web,stpyojcay,75278,2025-12-14
eo2d7f2qy,c00011,2025-12-14 05:08:13,,iPhone,sg5mrg82a,159719,2025-12-14
elpsj58h0,c00073,2025-12-14T06:35:12-05:00,,iPhone,saif1u2y0,64337,2025-12-14
ei5x4aqh3,c00038,2025-12-14 19:16:02,,android,sxstsu1bn,102272,2025-12-14
ev2e2q6o6,c00107,2025-12-13T23:06:06-05:00,,,se5575ukj,6394,2025-12-14
e0p528koc,c00082,bad-ts,paywall_view,,szm5idlj5,94974,2025-12-14
eh9xz0fxu,c00006,2025-12-13T22:21:54-05:00,paywall_view,,sz4xrs5fc,125483,2025-12-14
esxtt9ln7,c00068,2025-12-14T00:25:06-05:00,feature_use,,syw8kydes,55638,2025-12-14
ebdstaxbh,c00187,2025-12-14 06:41:19,error,,sxc9syz4y,22508,2025-12-14
evgpijiyf,c00132,2025-12-14T18:15:26-05:00,Logout,,ss32rm1ho,33925,2025-12-14
e68td2tjk,c00108,2025-12-13T20:00:45-05:00,login,iPhone,s11nmmjr7,138768,2025-12-14
eevh8uqsn,c00064,2025-12-14 10:48:56,,,s9xo70lir,13063,2025-12-14
e14phveod,c00138,2025-12-14T08:03:34-05:00,paywall_view,,sthwfstns,97817,2025-12-14
exkg6tsww,c00016,2025-12-14T08:32:19-05:00,paywall_view,ios,s7bya1g7c,206827,2025-12-14
enkt4jsmj,c00074,2025-12-14 12:20:05,feature_use,browser,so9n68sli,184177,2025-12-14
eh9xobw5g,c00047,2025-12-14 19:28:42,,ios,sye2ysi4q,79026,2025-12-14
ehtpz5k1h,c00045,2025-12-14 23:32:04,feature_use,ios,shjslrcao,174798,2025-12-14
ed9grrgji,c00136,2025-12-14 19:18:11,feature_use,ios,slu8xl160,129108,2025-12-14
eajqj1uj7,c00003,bad-ts,paywall_view,web,s4ctusaw6,3669,2025-12-14
emhf4he8u,c00158,2025-12-14 10:25:53,FEATURE_USE,android,s9xdpk9mz,64556,2025-12-14
eqsfp9tpk,c00099,2025-12-14 11:08:26,error,browser,,215672,2025-12-14
ers1ipb3e,c00102,2025-12-13T20:26:02-05:00,Logout,web,snxvxholn,35260,2025-12-14
ejo34uhlm,c00115,2025-12-14 10:46:24,paywall_view,iPhone,s225rvpha,312797,2025-12-14
etiqul1iu,c00034,bad-ts,login,browser,,155662,2025-12-14
ez681sgm6,c00174,2025-12-14 02:19:07,login,AND,s6orh1tv8,194978,2025-12-14
ech6ns8l8,c00094,2025-12-14 00:08:11,FEATURE_USE,AND,,72072,2025-12-14
eaa2zh5h6,c00143,2025-12-14 17:56:31,paywall_view,,sqffunokf,95512,2025-12-14
eoefscgoi,c00109,2025-12-14T00:14:58-05:00,error,web,suzq5kxwd,45384,2025-12-14
er711f197,c00121,2025-12-14 20:51:33,Logout,browser,,79899,2025-12-14
eomfar603,c00114,2025-12-14 09:02:52,paywall_view,iPhone,,228872,2025-12-14
e714unox6,c00126,2025-12-14 19:25:16,paywall_view,,su766frm1,36016,2025-12-14
ep1frrriz,c00141,2025-12-14T07:04:44-05:00,,,seltbhs56,3211,2025-12-14
el97dmhna,c00183,2025-12-14T01:46:22-05:00,,android,sn75j2gtu,55264,2025-12-14
e6blss4a1,c00100,2025-12-14 16:24:17,FEATURE_USE,ios,s10dn0042,52234,2025-12-14
euddfywaj,c00121,2025-12-14 15:27:59,Logout,web,,273942,2025-12-14
et069u7ue,c00189,bad-ts,,web,sf3zql95m,184094,2025-12-14
eco46ujjk,c00011,2025-12-14T16:18:33-05:00,error,,s8gaplnsz,117,2025-12-14
eujbrb11q,c00153,2025-12-14T15:24:27-05:00,,AND,,67881,2025-12-14
egmj2j75j,unknown_c00115,2025-12-14 09:04:19,feature_use,iPhone,sbwvsuqq8,47457,2025-12-14
e2df2kuhx,c00022,2025-12-14T18:32:52-05:00,Logout,android,s268a5lay,74771,2025-12-14
e6b91l3q4,c00097,2025-12-14 20:28:26,FEATURE_USE,ios,s60udsb8z,13686,2025-12-14
e4d1oxyar,c00084,2025-12-14T10:38:30-05:00,paywall_view,ios,sbaqfmd9j,116562,2025-12-14
ehl5kunv4,c00100,2025-12-14 22:54:02,feature_use,,sp41dr65o,68103,2025-12-14
