order_id,customer_id,order_time,amount,currency,status,ingest_date
o3tkm0g3v,c00092,not-a-time,116.2,$,paid,2025-12-14
ovdjx19ke,c00081,2025-12-14T18:34:00+00:00,21.97,,refunded,2025-12-14
o9m24jdyi,c00168,2025-12-14T06:04:00+00:00,72.59,EUR,succeeded,2025-12-14
o5kcjlw07,c00114,2025-12-14T04:12:00+00:00,9.48,???,,2025-12-14
o45mew2zo,c00139,2025-12-14T16:16:00+00:00,61.4,USD,,2025-12-14
olpoitr6o,c00115,2025-12-14T01:26:00+00:00,17.25,EUR,failed,2025-12-14
ourm0hnu3,c00136,2025-12-14T10:21:00+00:00,6.12,usd,succeeded,2025-12-14
o0t3dldf5,c00073,2025-12-14T15:37:00+00:00,12.34,€,paid,2025-12-14
ol4gbo61a,c00012,2025-12-14T10:31:00+00:00,42.67,€,,2025-12-14
oomoe6dmp,c00035,2025-12-14T07:05:00+00:00,30.84,EUR,failed,2025-12-14
ozi029mac,c00114,2025-12-14T20:33:00+00:00,14.9,,failed,2025-12-14
ohy25tdnk,c00043,2025-12-14T17:56:00+00:00,18.61,$,,2025-12-14
oa6c3r99n,c00154,2025-12-14T13:49:00+00:00,5.0,USD,succeeded,2025-12-14
o0lbxughl,c00075,2025-12-14T10:11:00+00:00,32.25,usd,PAID,2025-12-14
odaty3ysh,c00139,not-a-time,92.67,EUR,failed,2025-12-14
o8otxdcal,c00185,2025-12-14T09:31:00+00:00,29.31,€,refunded,2025-12-14
o9iegtdor,c00102,2025-12-14T05:09:00+00:00,5.47,EUR,succeeded,2025-12-14
o7yjhy00p,c00030,2025-12-14T02:01:00+00:00,49.27,USD,,2025-12-14
oqi50xia2,c00196,2025-12-14T23:20:00+00:00,49.79,€,failed,2025-12-14
og8d5ewdk,c00122,2025-12-14T12:13:00+00:00,13.57,usd,refunded,2025-12-14
o4r40xvpx,c00115,2025-12-14T09:10:00+00:00,103.11,USD,paid,2025-12-14
olhwahcsu,c00046,2025-12-14T11:44:00+00:00,11.81,USD,refunded,2025-12-14
osdnglwjf,c00168,2025-12-14T12:35:00+00:00,14.46,usd,,2025-12-14
o83c3uwhb,c00131,2025-12-14T14:05:00+00:00,9.93,???,succeeded,2025-12-14
onrpwsqya,c00003,not-a-time,95.32,,failed,2025-12-14
o0cwl93ir,c00027,not-a-time,47.0,usd,,2025-12-14
oi10gfedc,c00031,2025-12-14T03:49:00+00:00,32.87,USD,,2025-12-14
op2qh45dv,c00112,2025-12-14T01:45:00+00:00,47.61,usd,succeeded,2025-12-14
o0cnc5qzw,c00181,2025-12-14T23:24:00+00:00,24.26,usd,failed,2025-12-14
oy8rdsy0q,c00178,2025-12-14T00:02:00+00:00,27.04,$,,2025-12-14
ofxt0icjl,c00029,2025-12-14T22:47:00+00:00,29.51,,paid,2025-12-14
orihpoqhu,c00109,2025-12-14T03:23:00+00:00,57.29,usd,PAID,2025-12-14
oq0fpmtp3,c00058,2025-12-14T22:38:00+00:00,21.63,$,PAID,2025-12-14
oo0bs5h5b,c00039,2025-12-14T21:45:00+00:00,15.04,???,PAID,2025-12-14
odgxqlicw,c00066,2025-12-14T06:53:00+00:00,47.42,$,,2025-12-14
oyus17cqr,c00111,2025-12-14T05:58:00+00:00,49.49,???,chargeback,2025-12-14
of2a1vqx0,c00007,2025-12-14T16:59:00+00:00,19.13,???,failed,2025-12-14
olqv94dkk,c00166,2025-12-14T17:10:00+00:00,24.12,???,paid,2025-12-14
oa57qt0ft,c00002,2025-12-14T01:59:00+00:00,149.77,USD,chargeback,2025-12-14
ocv8283sp,c00070,2025-12-14T02:51:00+00:00,90.76,usd,,2025-12-14
ott3j97xr,c00165,2025-12-14T11:24:00+00:00,41.2,???,PAID,2025-12-14
owu20ogxz,c00063,2025-12-14T14:36:00+00:00,24.32,USD,chargeback,2025-12-14
oempqjkl8,unknown_c00173,2025-12-14T08:04:00+00:00,5.57,EUR,,2025-12-14
owkkibp7u,c00055,2025-12-14T03:32:00+00:00,100.17,EUR,chargeback,2025-12-14
obh9c28jr,c00057,2025-12-14T12:14:00+00:00,22.38,,succeeded,2025-12-14
o5yik8fsd,c00045,2025-12-14T14:55:00+00:00,83.36,€,failed,2025-12-14
o8vsf8hd2,c00128,2025-12-14T05:50:00+00:00,54.63,,succeeded,2025-12-14
ortwpgax2,c00057,not-a-time,40.19,EUR,,2025-12-14
o712d4l6y,c00164,2025-12-14T04:51:00+00:00,13.33,???,failed,2025-12-14
ox8t5h61v,c00102,2025-12-14T08:52:00+00:00,9.06,???,PAID,2025-12-14
ol2lajo9m,c00053,2025-12-14T00:53:00+00:00,54.83,USD,succeeded,2025-12-14
ow7wtie32,c00168,not-a-time,35.13,EUR,,2025-12-14
oa1995piq,c00019,not-a-time,17.5,usd,chargeback,2025-12-14
oiqr0042r,c00108,2025-12-14T16:05:00+00:00,18.21,EUR,,2025-12-14
o7lp814ym,c00165,not-a-time,63.52,,,2025-12-14
ovexidnoe,c00141,2025-12-14T20:29:00+00:00,15.76,usd,,2025-12-14
oig0dezlp,c00067,2025-12-14T17:06:00+00:00,22.47,,refunded,2025-12-14
o38n3kgn5,c00129,2025-12-14T19:39:00+00:00,41.94,,paid,2025-12-14
o3crgix0h,c00072,2025-12-14T19:21:00+00:00,47.11,USD,paid,2025-12-14
ops2db7ro,c00132,2025-12-14T16:09:00+00:00,94.75,$,failed,2025-12-14
o715bnsq5,c00080,2025-12-14T01:11:00+00:00,47.76,USD,refunded,2025-12-14
ov578gxjy,c00163,2025-12-14T10:54:00+00:00,17.54,USD,,2025-12-14
o3a5ns20r,c00014,not-a-time,14.64,???,failed,2025-12-14
o2wtfkd3z,c00159,2025-12-14T13:58:00+00:00,13.7,USD,paid,2025-12-14
o0srk7524,c00012,2025-12-14T22:55:00+00:00,76.04,$,chargeback,2025-12-14
otap6y8sk,c00148,not-a-time,25.3,USD,,2025-12-14
oqdtmb2kk,c00108,2025-12-14T19:10:00+00:00,43.53,€,refunded,2025-12-14
o46q1pfyk,c00140,2025-12-14T22:39:00+00:00,14.02,???,PAID,2025-12-14
ovpp79pc9,c00141,not-a-time,66.36,EUR,,2025-12-14
ov4t5kvdn,c00056,not-a-time,4.04,usd,succeeded,2025-12-14
ooh5go6lf,c00181,2025-12-14T06:13:00+00:00,41.9,usd,,2025-12-14
odbd9hqo7,c00099,2025-12-14T04:22:00+00:00,17.22,USD,paid,2025-12-14
o5m3jyicy,c00033,2025-12-14T18:53:00+00:00,59.34,usd,paid,2025-12-14
ok81oo3zq,c00111,not-a-time,61.87,usd,PAID,2025-12-14
opudvdlui,c00078,2025-12-14T17:55:00+00:00,51.33,usd,chargeback,2025-12-14
ooqm8iy9i,c00195,2025-12-14T10:23:00+00:00,46.46,,,2025-12-14
o8epsix1t,c00194,not-a-time,49.3,usd,succeeded,2025-12-14
odl3xp4r2,c00091,2025-12-14T03:52:00+00:00,17.75,$,,2025-12-14
o9cv1vudr,c00158,2025-12-14T13:48:00+00:00,22.42,EUR,succeeded,2025-12-14
osgs3n443,c00173,2025-12-14T09:56:00+00:00,22.88,USD,chargeback,2025-12-14
ozm95iz1v,c00077,not-a-time,81.3,,PAID,2025-12-14
o053ffiss,c00018,2025-12-14T12:00:00+00:00,7.71,???,chargeback,2025-12-14
ohhlfm0jq,c00178,not-a-time,15.88,usd,,2025-12-14
ooa0xr6ff,c00067,2025-12-14T23:05:00+00:00,32.04,usd,failed,2025-12-14
ouatqk5e3,c00145,2025-12-14T22:48:00+00:00,26.63,???,refunded,2025-12-14
ox19rv4oh,c00083,2025-12-14T08:56:00+00:00,65.52,USD,PAID,2025-12-14
oyt6manz9,c00154,not-a-time,76.97,EUR,refunded,2025-12-14
oqni5f350,c00021,2025-12-14T23:48:00+00:00,38.04,usd,chargeback,2025-12-14
on07n3pad,c00056,2025-12-14T15:07:00+00:00,117.41,???,refunded,2025-12-14
od8aa7dcz,c00047,2025-12-14T11:11:00+00:00,18.02,usd,PAID,2025-12-14
o81umoqs2,c00085,2025-12-14T18:47:00+00:00,50.58,€,succeeded,2025-12-14
olkiwzdts,c00142,2025-12-14T11:34:00+00:00,42.25,???,failed,2025-12-14
owaz3kbyi,c00081,2025-12-14T06:54:00+00:00,24.9,EUR,failed,2025-12-14
o9c2r8e5d,c00028,2025-12-14T08:18:00+00:00,4.14,???,,2025-12-14
oyc6w7m29,c00029,2025-12-14T23:37:00+00:00,56.96,usd,,2025-12-14
op6dl97l9,c00147,2025-12-14T07:29:00+00:00,15.05,usd,paid,2025-12-14
o2lr8h3bh,c00160,not-a-time,24.27,usd,failed,2025-12-14
ocz2hs2lu,c00053,2025-12-14T06:12:00+00:00,,,failed,2025-12-14
o45zf23fj,c00102,2025-12-14T08:32:00+00:00,2.51,€,refunded,2025-12-14
oi3ezlje8,c00029,2025-12-14T22:37:00+00:00,19.53,EUR,,2025-12-14
oqrar6utu,c00186,2025-12-14T18:24:00+00:00,81.44,usd,,2025-12-14
ola9nlpsf,c00070,2025-12-14T11:56:00+00:00,40.72,???,paid,2025-12-14
o8n21td7f,c00003,2025-12-14T16:06:00+00:00,8.32,USD,,2025-12-14
ooupes9wp,c00102,2025-12-14T07:38:00+00:00,26.02,,failed,2025-12-14
o3c9zlkt5,c00082,2025-12-14T23:15:00+00:00,13.83,€,,2025-12-14
o2cmw73ge,unknown_c00198,2025-12-14T14:37:00+00:00,64.03,€,chargeback,2025-12-14
