event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
ewqzfd8gj,c00096,2025-12-16T11:01:32-05:00,paywall_view,ios,sh8dmdrpz,68671,2025-12-16
ef9uhkbue,c00087,2025-12-16 17:03:25,login,android,s5y49px40,61453,2025-12-16
ey6yodxrh,c00098,2025-12-16T14:24:26-05:00,login,,s7sv2kepw,96543,2025-12-16
e1qa29r5t,c00188,2025-12-16T11:36:19-05:00,paywall_view,AND,,96628,2025-12-16
eylzjm4ks,c00076,2025-12-16T16:54:22-05:00,FEATURE_USE,,,177797,2025-12-16
eh3zspty6,c00178,2025-12-16 16:10:51,login,iPhone,sjv114g97,685436,2025-12-16
egev50jo4,c00099,2025-12-16T09:03:54-05:00,paywall_view,,safhyne5g,194990,2025-12-16
ei0ffob5h,c00020,2025-12-16T15:50:00-05:00,,AND,s7wcavk56,112930,2025-12-16
etweyvcru,c00076,2025-12-16 13:34:56,error,,s6clahhvh,28211,2025-12-16
es1dy1z0r,c00136,2025-12-16T10:25:35-05:00,paywall_view,ios,sh4qsj64i,101044,2025-12-16
em9yfvba8,c00131,2025-12-16T06:41:37-05:00,feature_use,iPhone,,99589,2025-12-16
euikcuu6k,c00129,2025-12-16 13:00:56,FEATURE_USE,android,s8atk6tyg,17090,2025-12-16
e4a11758r,c00189,bad-ts,paywall_view,browser,sav93l070,52311,2025-12-16
ea4m829qc,unknown_c00000,2025-12-16 14:21:47,feature_use,android,,64771,2025-12-16
eql3mjvqo,c00039,2025-12-16 12:16:06,error,browser,s6fh0ax4z,55814,2025-12-16
ezygmzli6,c00170,2025-12-16 13:52:07,feature_use,web,s0pkmfa51,302018,2025-12-16
e4om1xlyw,c00057,2025-12-16T08:44:25-05:00,Logout,browser,,178506,2025-12-16
ejqurfavo,c00087,2025-12-16 20:42:15,paywall_view,browser,srafja1q7,78607,2025-12-16
e208llbce,c00100,2025-12-16 13:44:35,Logout,,s4q2ryjk4,168797,2025-12-16
emko3eyg2,c00071,bad-ts,,,s8w0z9p4r,209170,2025-12-16
ef8ucy7w8,c00174,2025-12-16 12:51:55,,iPhone,,59011,2025-12-16
e2v40w97l,c00048,2025-12-16 10:39:59,FEATURE_USE,android,scbidzc3z,37766,2025-12-16
e1ojzi40o,c00096,2025-12-16T06:45:32-05:00,paywall_view,iPhone,sjw8ehimv,37573,2025-12-16
e9ylycvij,c00016,2025-12-16 15:37:30,error,browser,s885yuasx,49934,2025-12-16
ec9z2cm4m,c00079,2025-12-16 10:54:48,error,ios,sspny1t1m,168397,2025-12-16
esx2alx2l,c00151,2025-12-16 00:23:31,login,web,st2om90vh,13540,2025-12-16
e0zc3b48x,c00095,2025-12-15T21:26:03-05:00,,android,s4o71wamx,32478,2025-12-16
ejg5bc6iw,c00060,2025-12-16 12:24:49,paywall_view,iPhone,shqnqczwx,220729,2025-12-16
ewilzk7qx,c00116,2025-12-16T15:02:21-05:00,login,android,sab467ztq,73450,2025-12-16
ej2d9x8x4,c00000,2025-12-16T10:01:03-05:00,feature_use,browser,s0vyjfd8m,137545,2025-12-16
et5g8c611,c00058,2025-12-16 15:21:40,feature_use,android,skb2dw4rh,44438,2025-12-16
esx66987p,c00101,2025-12-15T21:48:25-05:00,login,ios,s2c18us4z,31330,2025-12-16
ehyhq91z4,c00071,2025-12-16T08:48:18-05:00,error,web,smhjqgxu0,127620,2025-12-16
eclwyrb06,c00136,2025-12-16 18:46:56,feature_use,,,6663,2025-12-16
eahccqer2,c00166,2025-12-16 17:44:49,paywall_view,android,s3syccllu,999999999,2025-12-16
e4s4f5kk7,c00011,2025-12-16T08:42:59-05:00,,,sekfl8hcg,4226,2025-12-16
e1iz6vuh5,c00082,2025-12-16 22:02:14,login,,,43813,2025-12-16
ehbkb6h91,c00076,2025-12-16 15:33:41,login,,stzmze4ec,49303,2025-12-16
ezovadkvp,c00149,2025-12-16 10:33:36,,,sb57p3qp9,368520,2025-12-16
egyvt0t64,c00116,2025-12-16 23:16:59,,android,sgt34jrfy,236556,2025-12-16
ezna28xl1,c00007,2025-12-16T10:31:42-05:00,paywall_view,ios,sszu2oepq,28295,2025-12-16
erstjsqwp,c00075,2025-12-16T08:09:06-05:00,FEATURE_USE,browser,siv5gker9,113004,2025-12-16
e466oskvv,c00002,2025-12-16 00:51:45,,android,syxs568kv,113532,2025-12-16
e7emxomru,c00190,2025-12-16T11:49:17-05:00,error,AND,slq96vil1,61266,2025-12-16
edsi89eqr,c00112,2025-12-16 15:05:00,,web,swzlogo5g,96557,2025-12-16
e32869wul,c00010,2025-12-16 16:20:46,,web,sk6zpwsa5,47232,2025-12-16
e4o6016o6,c00114,2025-12-16 02:37:16,FEATURE_USE,,,-26677,2025-12-16
e1rjy3fn1,c00072,2025-12-16T06:52:05-05:00,FEATURE_USE,android,,342817,2025-12-16
e9fefyemw,c00167,2025-12-16T11:52:34-05:00,error,,,6533,2025-12-16
e1f3qz9ke,c00049,bad-ts,paywall_view,,s4vxi4scb,240995,2025-12-16
ewwrkq5rp,c00086,2025-12-16 22:27:07,,browser,ski78l604,43665,2025-12-16
extf24ty0,c00194,2025-12-16T16:07:25-05:00,FEATURE_USE,AND,stetep2ma,62442,2025-12-16
ectlvbpr2,c00046,2025-12-16 17:19:23,,web,s39o68pkq,118045,2025-12-16
e10helf04,c00170,2025-12-16 21:59:01,paywall_view,web,sxgt05820,13774,2025-12-16
es70yyg3a,c00168,2025-12-16 16:06:11,,,sytybgkqg,5550,2025-12-16
ep1fc84g7,c00054,2025-12-16T16:14:26-05:00,feature_use,AND,sed2gm4wy,7180,2025-12-16
ep1fc84g7,c00054,2025-12-16T16:14:26-05:00,feature_use,AND,sed2gm4wy,7180,2025-12-16
e66d6auvz,c00112,2025-12-15T20:49:29-05:00,feature_use,ios,sor0q5clv,74020,2025-12-16
eafpijpkx,c00185,2025-12-16 22:23:21,,ios,s9rsu6x4r,83576,2025-12-16
eij9es09d,c00047,2025-12-16 16:59:22,login,iPhone,s90zhfj3b,76920,2025-12-16
ebqlchj0a,c00049,bad-ts,error,browser,smdlpk6tl,22981,2025-12-16
exhkt060m,c00155,2025-12-16 12:53:22,feature_use,browser,stio9v9xi,118086,2025-12-16
ehq7x6wmt,c00058,2025-12-16 10:06:58,Logout,web,s3odn7ik2,389730,2025-12-16
e6dlbtur6,c00042,2025-12-15T21:21:35-05:00,Logout,android,,40051,2025-12-16
edw18x0i7,c00035,2025-12-16 20:18:34,,ios,,26634,2025-12-16
elrcs9mxn,c00119,2025-12-16T10:00:34-05:00,feature_use,,s7cph1idm,75013,2025-12-16
eyqd5o1og,c00045,bad-ts,,browser,s8a2nakys,78441,2025-12-16
e5s7vdsec,c00067,2025-12-16T13:45:55-05:00,login,iPhone,,62754,2025-12-16
ev4ezmy4n,c00089,2025-12-16 19:41:03,FEATURE_USE,,se50lujjx,29091,2025-12-16
ec85s8cz6,c00065,2025-12-16 16:05:31,Logout,,,10098,2025-12-16
ebkua5y7x,c00106,2025-12-16 11:46:11,,iPhone,s88yxzo8v,36856,2025-12-16
emfmla0vt,c00120,2025-12-16 12:03:05,FEATURE_USE,browser,s07wanw7c,277835,2025-12-16
e2djbrdcm,c00055,2025-12-16T06:56:15-05:00,paywall_view,,srl6t15c1,51246,2025-12-16
e7cxkdc4u,c00042,2025-12-16 16:43:01,error,iPhone,,249719,2025-12-16
ez61htqze,c00090,2025-12-16 15:09:38,login,android,s8pcytwwi,25739,2025-12-16
ekq3v7odj,c00027,2025-12-16 21:18:33,Logout,ios,,-43596,2025-12-16
er7grxa6v,c00061,2025-12-16 14:07:46,paywall_view,ios,,40199,2025-12-16
emo24t740,c00153,2025-12-16 11:18:19,Logout,web,sysjdq42y,69225,2025-12-16
eo776ru35,c00052,bad-ts,,web,,207577,2025-12-16
exjxxzlgq,c00142,2025-12-16 12:59:48,paywall_view,ios,sehjslvoa,73535,2025-12-16
ekx956alv,c00051,2025-12-16 16:09:21,error,web,scqvckbtq,279336,2025-12-16
eh4ny2sil,c00185,2025-12-16T12:59:00-05:00,feature_use,iPhone,,157768,2025-12-16
ejkbkdh2k,c00160,bad-ts,feature_use,,swnpcj7hs,1920,2025-12-16
ervbca881,c00027,2025-12-16 21:06:54,paywall_view,android,s5x6c4g14,57206,2025-12-16
eo3p5i7pf,c00075,2025-12-16 11:52:58,,,swmhg3gaa,10718,2025-12-16
eagreuhpj,c00151,2025-12-16 14:28:19,feature_use,,s4pqdte43,255077,2025-12-16
e8bqgq9ve,c00187,2025-12-16 19:25:45,,ios,sopn467tq,75542,2025-12-16
ewzqfb114,c00090,bad-ts,,web,supkquoox,87691,2025-12-16
edrkww0rx,c00054,2025-12-16 13:04:11,,AND,sxrp5zvi7,45899,2025-12-16
e8oxfvq3s,c00030,2025-12-16 19:40:43,,ios,sn7r26117,703156,2025-12-16
ertb9wsc9,c00194,2025-12-16 16:06:59,,ios,sf8njzvz5,387909,2025-12-16
eqmshmdbj,c00197,2025-12-16 11:36:37,error,web,sowno526e,50469,2025-12-16
etjal3vp3,c00174,2025-12-16 20:11:02,login,AND,sx5vi39xe,33384,2025-12-16
ewvgovf2e,c00093,2025-12-16 14:44:58,FEATURE_USE,android,s1qa9lee2,61948,2025-12-16
eyttsftqn,c00027,2025-12-16 21:42:13,error,,slkcsy1yi,309635,2025-12-16
e62jopegp,c00166,2025-12-16 13:01:51,Logout,web,srp0j2sn2,20011,2025-12-16
ei45k09l9,c00023,2025-12-16 19:59:22,paywall_view,web,sxp2mbif8,63904,2025-12-16
enzo6w7fu,c00194,bad-ts,,iPhone,sx91xl66n,40968,2025-12-16
eprersszb,c00070,2025-12-15T22:14:31-05:00,Logout,android,sf5psdl54,162433,2025-12-16
e8ipdpsgb,c00184,2025-12-16T13:42:00-05:00,Logout,iPhone,skqwskajc,78117,2025-12-16
euqbqvgdd,c00198,2025-12-16 13:06:34,paywall_view,ios,s81r77oy7,12292,2025-12-16
erzys1tmq,c00015,2025-12-16T16:13:33-05:00,login,,,71337,2025-12-16
eh1h0us30,c00075,2025-12-16 12:34:00,login,web,suiuco51o,83437,2025-12-16
e0han9aqy,c00059,2025-12-16T18:06:02-05:00,,ios,skbiayogj,-52832,2025-12-16
erm4fw1ix,c00095,2025-12-16 13:23:28,Logout,browser,s7xo0bvq2,22833,2025-12-16
e6620zg7p,c00073,2025-12-16T15:23:54-05:00,,ios,,79203,2025-12-16
eqlcwaoen,c00199,2025-12-16 01:24:30,feature_use,ios,szvubtnge,32021,2025-12-16
