event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
eirwvks38,c00002,2025-12-19T11:41:18-05:00,,android,s64bp6ld1,10161,2025-12-19
e6pushhei,c00149,2025-12-19T15:53:13-05:00,,,sp3dd20ms,95527,2025-12-19
e61qj3qx1,c00023,2025-12-19T14:27:58-05:00,login,web,ss5qtsq3d,38831,2025-12-19
ecjkygjw7,c00039,2025-12-19 09:10:05,Logout,,sei3k2jr8,88520,2025-12-19
eg4ar8y1a,c00163,2025-12-19 14:35:46,login,ios,,84968,2025-12-19
eirn0dxbz,c00081,2025-12-19 17:14:54,error,,s2r9ywun8,66940,2025-12-19
ejjwv6fv0,c00037,2025-12-19 13:38:31,,,,78975,2025-12-19
e8ur5hnlg,c00186,2025-12-19 18:10:52,feature_use,iPhone,sqql2mm65,51375,2025-12-19
ekxva40sy,c00028,2025-12-19 15:53:19,FEATURE_USE,ios,s21tgrm7p,228632,2025-12-19
e4oluozh0,c00040,2025-12-19 09:59:48,Logout,,sq2ty3b8w,78489,2025-12-19
e88uztm4y,c00167,2025-12-19 16:10:47,,ios,sakmfrkof,209909,2025-12-19
eych4f9io,c00083,2025-12-19T05:50:19-05:00,feature_use,web,sq0anuljz,15191,2025-12-19
e576ldnjb,c00137,2025-12-19 10:39:13,,AND,s1g9ao2gz,116451,2025-12-19
exbmpn38l,c00190,2025-12-19 14:29:50,paywall_view,AND,s7g9ujf07,168227,2025-12-19
ey3oigubd,c00042,2025-12-19 22:22:20,feature_use,iPhone,sssd2rudn,120419,2025-12-19
ebl8u96r1,c00003,2025-12-19 23:33:06,login,android,,22501,2025-12-19
e8p8l7oi7,c00179,2025-12-19T06:41:34-05:00,,,,46822,2025-12-19
euclujv2s,c00155,2025-12-19 17:55:12,,,s1en0nvxh,59149,2025-12-19
e82s4p8wb,c00114,2025-12-19T14:57:23-05:00,login,browser,sxufxl55c,264421,2025-12-19
eexs3idde,c00175,2025-12-19T06:56:17-05:00,,browser,snnm2vkyi,126371,2025-12-19
ecrudczqu,c00178,2025-12-19T07:09:11-05:00,,browser,sve013i30,189743,2025-12-19
eck7v13m7,c00167,2025-12-19T08:55:44-05:00,error,,s89qdag0u,302919,2025-12-19
eiotqro6r,c00150,2025-12-19T16:41:34-05:00,FEATURE_USE,,sxrfjnm65,999999999,2025-12-19
ekvky5413,c00091,2025-12-19 18:25:07,feature_use,web,sd54i6t4m,159833,2025-12-19
e43uk89mi,c00199,bad-ts,paywall_view,,sy55xmcaq,4452,2025-12-19
