event_id,customer_id,event_time,event_type,platform,session_id,duration_ms,ingest_date
evzd7rqkf,c00042,2025-12-11 00:40:39,FEATURE_USE,ios,,94535,2025-12-11
emta7e6w2,c00057,2025-12-11 05:56:03,paywall_view,browser,s9uxwevg7,8058,2025-12-11
e7bmkjgnx,c00105,2025-12-11 02:36:56,login,web,sud0kpdn3,80842,2025-12-11
esppqmptf,c00127,2025-12-11 19:30:20,feature_use,,sinfssavg,86796,2025-12-11
ewd5uys3w,c00018,2025-12-11 12:40:42,,,senmosyjf,164732,2025-12-11
enm254x9a,c00012,2025-12-11 21:12:14,paywall_view,browser,,86067,2025-12-11
ebqncz289,c00070,2025-12-11T08:58:49-05:00,feature_use,AND,shh6aj7ex,63746,2025-12-11
ed9lniktz,c00081,2025-12-10T21:45:54-05:00,login,iPhone,s54pl4940,5688,2025-12-11
euvdqome2,c00082,2025-12-11T03:32:05-05:00,login,,sas6uj17t,11676,2025-12-11
e5n9ifkw2,c00185,2025-12-11 02:14:36,FEATURE_USE,AND,s6xnw65a3,47438,2025-12-11
ejpsm02ib,c00035,2025-12-11 14:04:08,feature_use,AND,sq8nne3dt,86765,2025-12-11
esbkoavjy,c00189,2025-12-11 15:31:15,Logout,android,,196092,2025-12-11
e52ma0qm8,c00019,2025-12-11 18:11:44,,browser,,143253,2025-12-11
ezrcdhifx,c00018,2025-12-11 14:27:07,paywall_view,,svzlwh2g8,66239,2025-12-11
ey1gbhrvl,c00147,2025-12-11 17:20:57,,browser,swjlmqdw1,30779,2025-12-11
eff54gan6,c00044,2025-12-11T10:08:19-05:00,feature_use,browser,spe0t3nyz,33963,2025-12-11
efykva6o2,c00187,2025-12-11 18:44:08,feature_use,browser,s9npq2nye,110323,2025-12-11
eyd8k51e9,c00070,2025-12-11T06:48:44-05:00,,ios,sl4ekow7h,144400,2025-12-11
e8jsns6fx,c00073,2025-12-11 03:32:03,,iPhone,sb3qf0cy9,6171,2025-12-11
enn0tr2tm,c00110,2025-12-11T00:47:27-05:00,feature_use,iPhone,st0wx97p7,51204,2025-12-11
ev4t26qd3,c00190,2025-12-11T08:43:55-05:00,error,,sw3xa2mnf,139136,2025-12-11
eqve4vz5s,c00077,2025-12-11T11:40:40-05:00,login,iPhone,sxhie92gu,14660,2025-12-11
e9g1r9vkb,c00159,2025-12-11 01:36:49,feature_use,ios,s2n2t4iy2,53486,2025-12-11
eho9oo0tc,c00005,2025-12-11T09:20:28-05:00,paywall_view,,saann3qs5,28908,2025-12-11
edqz5azlh,c00125,2025-12-11T12:52:54-05:00,paywall_view,,sy545em4m,226911,2025-12-11
enmk61mvw,c00018,2025-12-11 03:09:23,login,,srb8y38lo,85885,2025-12-11
e38j67v5p,c00069,2025-12-11 13:44:35,feature_use,AND,syl16a70r,18469,2025-12-11
esvh3mvw9,c00154,2025-12-11 08:29:44,login,browser,scw0otza5,8965,2025-12-11
ez02iemep,c00008,2025-12-11 16:02:36,feature_use,,,151458,2025-12-11
eovytrx1e,c00030,2025-12-11 19:24:24,FEATURE_USE,browser,s5gv2p11w,78939,2025-12-11
edc926zwq,c00198,2025-12-11 23:50:38,,ios,s2dbbs76t,4071,2025-12-11
eldpsb55q,unknown_c00068,2025-12-11 16:04:17,login,,spu9v73rr,137311,2025-12-11
epi2xx8t5,c00167,2025-12-11 03:01:23,,browser,sy8gfe3cp,309458,2025-12-11
e2wozvcwb,c00057,2025-12-11 01:10:29,login,,sxe7nect4,76446,2025-12-11
e27tnc4bd,c00076,2025-12-11 06:19:20,login,iPhone,s6oisjhio,10795,2025-12-11
ebcreafmt,c00132,2025-12-11 15:50:56,,browser,ssrop29ec,55995,2025-12-11
e61kgmiws,c00106,2025-12-11T18:29:32-05:00,error,,seejbtsor,44012,2025-12-11
ey5afcgg3,c00195,2025-12-11 10:20:52,,iPhone,sn7jefsjz,335655,2025-12-11
eabwcbl2h,c00038,2025-12-11T01:27:29-05:00,login,iPhone,srr0wlhgv,8161,2025-12-11
ek73nfc2j,c00195,2025-12-11 03:04:47,,iPhone,sphuhl5iy,170096,2025-12-11
e5a8d4irz,c00005,2025-12-10T19:45:17-05:00,feature_use,android,sans9sfwl,119960,2025-12-11
etz857u1o,c00156,2025-12-11 08:09:09,Logout,ios,swb5a1q50,575967,2025-12-11
